,Minimum,Average,Maximum,Std. Dev.,Std. Err.,,,,,,,,,,,,,,,,,,,,,,
Channel 1,0,113683.93,171920,21670.8,1247.01,,,,,,,,,,,,,,,,,,,,,,
Channel 2,0,9173.55,15336,2218.13,127.64,,,,,,,,,,,,,,,,,,,,,,
Channel 3,0,1742.93,3256,805.49,46.35,,,,,,,,,,,,,,,,,,,,,,
Channel 4,0,237.65,531,143.54,8.26,,,,,,,,,,,,,,,,,,,,,,
Channel 5,0,73.53,164,48.72,2.8,,,,,,,,,,,,,,,,,,,,,,
Channel 6,0,5.73,17,4.72,0.27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record #,Location,Date & Time,Instrument Status,Sample Time,Laser Status,Ch1 Size (um),Ch1 Differential,Ch1 Alarm,Ch2 Size (um),Ch2 Differential,Ch2 Alarm,Ch3 Size (um),Ch3 Differential,Ch3 Alarm,Ch4 Size (um),Ch4 Differential,Ch4 Alarm,Ch5 Size (um),Ch5 Differential,Ch5 Alarm,Ch6 Size (um),Ch6 Differential,Ch6 Alarm,Flow Status,Volume(ft3),Temperature(¡F),Humidity(%)
115,supply,10/3/14 12:06,(ok),0:01:00,OK,0.3,118260,,0.5,8352,,1,1134,,2.5,105,,5,19,,10,0,,OK,0.1,N/A,0
116,supply,10/3/14 12:07,(ok),0:01:00,OK,0.3,114208,,0.5,8091,,1,1015,,2.5,85,,5,25,,10,2,,OK,0.1,N/A,0
117,supply,10/3/14 12:08,(ok),0:01:00,OK,0.3,109412,,0.5,7554,,1,979,,2.5,89,,5,11,,10,0,,OK,0.1,N/A,0
118,supply,10/3/14 12:09,(ok),0:01:00,OK,0.3,106774,,0.5,7554,,1,961,,2.5,73,,5,22,,10,2,,OK,0.1,N/A,0
119,supply,10/3/14 12:10,(ok),0:01:00,OK,0.3,104171,,0.5,7325,,1,937,,2.5,77,,5,22,,10,1,,OK,0.1,N/A,0
120,supply,10/3/14 12:11,(ok),0:01:00,OK,0.3,106443,,0.5,7226,,1,897,,2.5,67,,5,7,,10,0,,OK,0.1,N/A,0
121,supply,10/3/14 12:12,(ok),0:01:00,OK,0.3,105135,,0.5,7052,,1,843,,2.5,71,,5,10,,10,1,,OK,0.1,N/A,0
122,supply,10/3/14 12:13,(ok),0:01:00,OK,0.3,103625,,0.5,6891,,1,901,,2.5,58,,5,9,,10,1,,OK,0.1,N/A,0
123,supply,10/3/14 12:14,(ok),0:01:00,OK,0.3,101468,,0.5,6857,,1,776,,2.5,64,,5,10,,10,0,,OK,0.1,N/A,0
124,supply,10/3/14 12:15,(ok),0:01:00,OK,0.3,101121,,0.5,6621,,1,802,,2.5,48,,5,7,,10,1,,OK,0.1,N/A,0
125,supply,10/3/14 12:16,(ok),0:01:00,OK,0.3,99018,,0.5,6849,,1,745,,2.5,51,,5,6,,10,0,,OK,0.1,N/A,0
126,supply,10/3/14 12:17,(ok),0:01:00,OK,0.3,97640,,0.5,6350,,1,758,,2.5,56,,5,10,,10,1,,OK,0.1,N/A,0
127,supply,10/3/14 12:18,(ok),0:01:00,OK,0.3,94993,,0.5,6488,,1,699,,2.5,46,,5,11,,10,2,,OK,0.1,N/A,0
128,supply,10/3/14 12:19,(ok),0:01:00,OK,0.3,94367,,0.5,6295,,1,653,,2.5,37,,5,4,,10,0,,OK,0.1,N/A,0
129,supply,10/3/14 12:20,(ok),0:01:00,OK,0.3,96588,,0.5,6205,,1,707,,2.5,39,,5,9,,10,0,,OK,0.1,N/A,0
130,supply,10/3/14 12:21,(ok),0:01:00,OK,0.3,96053,,0.5,6323,,1,652,,2.5,33,,5,6,,10,0,,OK,0.1,N/A,0
131,supply,10/3/14 12:22,(ok),0:01:00,OK,0.3,96663,,0.5,6090,,1,690,,2.5,37,,5,11,,10,1,,OK,0.1,N/A,0
132,supply,10/3/14 12:23,(ok),0:01:00,OK,0.3,96184,,0.5,6090,,1,641,,2.5,32,,5,7,,10,0,,OK,0.1,N/A,0
133,supply,10/3/14 12:24,(ok),0:01:00,OK,0.3,96435,,0.5,6072,,1,575,,2.5,38,,5,3,,10,3,,OK,0.1,N/A,0
134,supply,10/3/14 12:25,(ok),0:01:00,OK,0.3,96343,,0.5,6109,,1,600,,2.5,37,,5,3,,10,0,,OK,0.1,N/A,0
135,supply,10/3/14 12:26,(ok),0:01:00,OK,0.3,95242,,0.5,6106,,1,631,,2.5,36,,5,5,,10,1,,OK,0.1,N/A,0
136,supply,10/3/14 12:27,(ok),0:01:00,OK,0.3,95493,,0.5,5899,,1,565,,2.5,34,,5,5,,10,1,,OK,0.1,N/A,0
137,supply,10/3/14 12:28,(ok),0:01:00,OK,0.3,93326,,0.5,5862,,1,624,,2.5,36,,5,8,,10,0,,OK,0.1,N/A,0
138,supply,10/3/14 12:29,(ok),0:01:00,OK,0.3,93370,,0.5,5841,,1,584,,2.5,41,,5,8,,10,0,,OK,0.1,N/A,0
